
2025/05/25 (22:51:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/26 (23:18:21) | ===> btop++ v.1.4.0
2025/05/26 (23:18:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/27 (22:50:20) | ===> btop++ v.1.4.0
2025/05/27 (22:50:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (22:54:24) | ===> btop++ v.1.4.0
2025/05/29 (22:54:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (22:54:26) | ===> btop++ v.1.4.0
2025/05/29 (22:54:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/31 (22:46:50) | ===> btop++ v.1.4.0
2025/05/31 (22:46:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/31 (22:46:52) | ===> btop++ v.1.4.0
2025/05/31 (22:46:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/31 (22:46:53) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (22:46:53) | ===> btop++ v.1.4.0
2025/05/31 (22:46:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/31 (22:46:54) | WARNING: Failed to join _runner thread on exit!

2025/05/31 (22:46:55) | ===> btop++ v.1.4.0
2025/05/31 (22:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/31 (22:47:30) | ===> btop++ v.1.4.0
2025/05/31 (22:47:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/31 (22:47:34) | ===> btop++ v.1.4.0
2025/05/31 (22:47:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/31 (22:47:54) | WARNING: Failed to join _runner thread on exit!

2025/06/03 (18:46:14) | ===> btop++ v.1.4.0
2025/06/03 (18:46:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/03 (18:46:15) | WARNING: Failed to join _runner thread on exit!

2025/06/04 (20:35:25) | ===> btop++ v.1.4.0
2025/06/04 (20:35:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/10 (12:25:23) | ===> btop++ v.1.4.0
2025/06/10 (12:25:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/11 (20:44:10) | ===> btop++ v.1.4.0
2025/06/11 (20:44:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/12 (22:31:49) | ===> btop++ v.1.4.0
2025/06/12 (22:31:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/12 (22:32:36) | WARNING: Failed to join _runner thread on exit!

2025/06/14 (17:07:00) | ===> btop++ v.1.4.0
2025/06/14 (17:07:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/14 (17:07:03) | WARNING: Failed to join _runner thread on exit!

2025/06/14 (17:07:33) | ===> btop++ v.1.4.0
2025/06/14 (17:07:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (20:28:28) | ===> btop++ v.1.4.0
2025/06/14 (20:28:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/20 (19:34:09) | ===> btop++ v.1.4.0
2025/06/20 (19:34:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/20 (19:34:17) | ===> btop++ v.1.4.0
2025/06/20 (19:34:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/22 (21:19:14) | ===> btop++ v.1.4.0
2025/06/22 (21:19:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/22 (21:19:17) | WARNING: Failed to join _runner thread on exit!

2025/06/22 (22:17:23) | ===> btop++ v.1.4.0
2025/06/22 (22:17:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/22 (22:17:25) | WARNING: Failed to join _runner thread on exit!

2025/06/22 (22:22:43) | ===> btop++ v.1.4.0
2025/06/22 (22:22:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/22 (22:22:46) | ===> btop++ v.1.4.0
2025/06/22 (22:22:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/22 (22:22:59) | ===> btop++ v.1.4.0
2025/06/22 (22:22:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/23 (12:09:51) | ===> btop++ v.1.4.0
2025/06/23 (12:09:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/23 (12:09:51) | WARNING: Failed to join _runner thread on exit!

2025/06/24 (11:50:57) | ===> btop++ v.1.4.0
2025/06/24 (11:50:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/24 (12:06:18) | WARNING: Failed to join _runner thread on exit!

2025/06/27 (10:25:54) | ===> btop++ v.1.4.0
2025/06/27 (10:25:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/27 (10:25:56) | ===> btop++ v.1.4.0
2025/06/27 (10:25:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/29 (14:06:19) | ===> btop++ v.1.4.0
2025/06/29 (14:06:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/29 (14:06:21) | ===> btop++ v.1.4.0
2025/06/29 (14:06:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/29 (14:06:22) | WARNING: Failed to join _runner thread on exit!

2025/06/30 (22:47:32) | ===> btop++ v.1.4.0
2025/06/30 (22:47:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/03 (20:51:38) | ===> btop++ v.1.4.0
2025/07/03 (20:51:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (20:51:39) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (20:55:23) | ===> btop++ v.1.4.0
2025/07/03 (20:55:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (20:55:34) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (20:55:35) | ===> btop++ v.1.4.0
2025/07/03 (20:55:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (20:55:49) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (20:55:51) | ===> btop++ v.1.4.0
2025/07/03 (20:55:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (20:58:05) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (20:58:07) | ===> btop++ v.1.4.0
2025/07/03 (20:58:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (20:58:39) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (20:58:44) | ===> btop++ v.1.4.0
2025/07/03 (20:58:44) | WARNING: Intel GPU: Failed to initialize PMU
